ref_num,area,city,district,Mukatat,piece_num,property_classification,property_type,number_of_properties,price,space,Price_per_square_meter
18917554.0,منطقة المدينة المنورة,المدينة المنورة,حي/أخرى,844/ت/1419,1/1,زراعي,شقة,1.0,350000.0,161.42,2168.26
18918116.0,منطقة المدينة المنورة,المدينة المنورة,حي/أخرى,844/ت/1419,1/أ,زراعي,شقة,1.0,350000.0,151.32,2312.98
18917659.0,منطقة المدينة المنورة,المدينة المنورة,حي/أخرى,844/ت/1419,1/ح1,زراعي,شقة,1.0,350000.0,117.58,2976.7
18917436.0,منطقة المدينة المنورة,المدينة المنورة,حي/أخرى,844/ت/1419,2/1,زراعي,شقة,1.0,350000.0,145.8,2400.55
18917839.0,منطقة المدينة المنورة,المدينة المنورة,حي/أخرى,844/ت/1419,2/أ,زراعي,شقة,1.0,350000.0,127.16,2752.44
18917768.0,منطقة المدينة المنورة,المدينة المنورة,حي/أخرى,844/ت/1419,3/1,زراعي,شقة,1.0,350000.0,145.2,2410.47
18918008.0,منطقة المدينة المنورة,المدينة المنورة,حي/أخرى,844/ت/1419,3/أ,زراعي,شقة,1.0,350000.0,145.8,2400.55
18917522.0,منطقة المدينة المنورة,المدينة المنورة,حي/أخرى,11/ف,50,سكني,أرض,1.0,900000.0,574.86,1565.6
18893020.0,منطقة المدينة المنورة,المدينة المنورة,العاقول,9/ف/1408,1133/1,سكني,أرض,1.0,275000.0,392.74,700.21
18918539.0,منطقة المدينة المنورة,المدينة المنورة,حي/أخرى,1/ف/1411هـ,702/ج,سكني,أرض,1.0,500000.0,600.0,833.33
18918519.0,منطقة المدينة المنورة,المدينة المنورة,حي/أخرى,712/ت/1415,310,سكني,أرض,1.0,1820000.0,549.96,3309.33
18907993.0,منطقة المدينة المنورة,المدينة المنورة,حي/أخرى,634/ت/1413,1467,سكني,أرض,1.0,900000.0,845.99,1063.84
18918273.0,منطقة المدينة المنورة,المدينة المنورة,حي/أخرى,25/ع/1401,1329,سكني,أرض,1.0,700000.0,600.0,1166.67
18902393.0,منطقة المدينة المنورة,المدينة المنورة,حي/أخرى,811/ت/1417,549,سكني,أرض,1.0,750000.0,501.48,1495.57
18900718.0,منطقة المدينة المنورة,المدينة المنورة,حي/أخرى,811/ت/1417هـ,581,سكني,أرض,1.0,110000.0,534.76,205.7
18923776.0,منطقة المدينة المنورة,المدينة المنورة,حي/أخرى,834/ت/1420هـ,131,تجاري,أرض,1.0,340000.0,591.73,574.59
18922176.0,منطقة المدينة المنورة,المدينة المنورة,وادى البطان شرق المدينة منطقة تيم,4340519/س,1807,سكني,أرض,1.0,300000.0,500.0,600.0
18920684.0,منطقة المدينة المنورة,المدينة المنورة,وادى البطان شرق المدينة منطقة تيم,4340519/س,2049,سكني,أرض,1.0,655000.0,500.0,1310.0
18906282.0,منطقة المدينة المنورة,وادي الفرع,719/ ت/ 1416,أخرى,502,سكني,أرض,1.0,69000.0,882.0,78.23
18900824.0,منطقة المدينة المنورة,وادي الفرع,719/ ت/ 1416,أخرى,752,سكني,أرض,1.0,73000.0,1037.5,70.36
18916843.0,منطقة المدينة المنورة,وادي الفرع,919/ و/ 1422,أخرى,291,سكني,أرض,1.0,50000.0,782.88,63.87
18898448.0,منطقة القصيم,البدائع,الاسكان,ق/د/65 أ,3103,سكني,أرض,1.0,40000.0,600.0,66.67
18920497.0,منطقة القصيم,البدائع,الخليج,244/ق,515,سكني,أرض,1.0,50000.0,587.5,85.11
18920649.0,منطقة القصيم,البدائع,الخليج,244/ق,516,سكني,أرض,1.0,50000.0,674.0,74.18
18920196.0,منطقة القصيم,البدائع,الخليج,244/ق,517,سكني,أرض,1.0,550000.0,570.0,964.91
18920868.0,منطقة القصيم,البدائع,الخليج,ق/د/397,1/1,زراعي,شقة,1.0,218590.0,125.11,1747.18
18920998.0,منطقة القصيم,البدائع,الخليج,ق/د/397,1/أ,زراعي,شقة,1.0,392559.0,256.62,1529.73
18921137.0,منطقة القصيم,البدائع,الخليج,ق/د/397,2/1,زراعي,شقة,1.0,218590.0,116.61,1874.54
18923890.0,منطقة القصيم,البكيريه,حي/أخرى,أخرى,17/ح,تجاري,أرض,1.0,70000.0,451.49,155.04
18923508.0,منطقة القصيم,البكيريه,308/ ق/ ت 530,أخرى,85/أ,سكني,أرض,1.0,39000.0,450.12,86.64
18922518.0,منطقة القصيم,البكيريه,308/ ق/ ت 530,أخرى,85/د,سكني,أرض,1.0,42000.0,606.22,69.28
18922524.0,منطقة القصيم,البكيريه,308/ ق/ ت 530,أخرى,85/م,تجاري,أرض,1.0,42000.0,604.97,69.42
18920859.0,منطقة القصيم,البكيريه,308/ ق/ ت 530,أخرى,85/هـ,تجاري,أرض,1.0,41000.0,350.65,116.93
18923491.0,منطقة القصيم,البكيريه,308/ ق/ ت 530,أخرى,85/و,تجاري,أرض,1.0,39000.0,437.91,89.06
18923409.0,منطقة القصيم,البكيريه,308/ ق/ ت 530,أخرى,85/ى,تجاري,أرض,1.0,39000.0,437.68,89.11
18921052.0,منطقة القصيم,البكيريه,الشيحية,ق/ك/176,35,سكني,أرض,1.0,52500.0,600.0,87.5
18915648.0,منطقة القصيم,البكيريه,القادسية,375/ق,618,سكني,أرض,1.0,435000.0,600.0,725.0
18915679.0,منطقة القصيم,البكيريه,شمال البكيرية,29/ق/ك,1541,سكني,أرض,1.0,165000.0,661.5,249.43
18908896.0,منطقة القصيم,البكيريه,شمال البكيرية,ق/ك/572,89,سكني,أرض,1.0,211200.0,528.0,400.0
